order_id,order_date,supplier_id,product_id,category,quantity,unit_price,total_amount,promised_delivery_date,actual_delivery_date,promised_lead_days,actual_lead_days,days_late,on_time_flag,status
PO-10066,2025-06-11,SUP-016,PRD-023,Finishes,35,88.05,3081.75,2025-06-20,2025-06-20,9,9,0,1,Delivered
PO-10069,2025-05-30,SUP-019,PRD-030,Safety,19,64.9,1233.1,2025-06-09,2025-06-08,10,9,0,1,Delivered
PO-10071,2025-08-11,SUP-024,PRD-017,Electrical,8,66.17,529.36,2025-08-29,2025-09-19,18,39,21,0,Delivered
PO-10073,2025-09-17,SUP-018,PRD-031,Finishes,11,105.58,1161.38,2025-10-07,2025-10-06,20,19,0,1,Delivered
PO-10075,2024-01-29,SUP-009,PRD-016,Electrical,15,12.06,180.9,04/02/2024,,6,,,,Pending
PO-10077,2026-03-25,SUP-008,PRD-008,Concrete,44,19.83,872.52,2026-04-05,,11,,,,Cancelled
PO-10078,2024-11-13,SUP-004,PRD-004,Structural,60,86.31,5178.6,2024-11-24,2024-11-29,11,16,5,0,Delivered
PO-10079,2026-03-17,SUP-011,PRD-035,Electrical,70,197.54,13827.8,03-31-2026,2026-03-31,14,14,0,1,Delivered
PO-10080,2025-05-14,SUP-011,PRD-017,Electrical,16,69.37,1109.92,2025-05-28,,14,,,,Cancelled
PO-10082,2024-10-29,SUP-003,PRD-006,Structural,40,42.65,1706.0,2024-11-08,,10,,,,Cancelled
PO-10086,2025-08-01,SUP-023,PRD-012,Concrete,2,63.61,127.22,2025-08-19,,18,,,,Pending
PO-10088,2025-02-25,SUP-020,PRD-027,Safety,44,182.51,8030.44,2025-03-04,2025-03-04,7,7,0,1,Delivered
PO-10090,2026-03-31,SUP-016,PRD-031,Finishes,75,88.43,6632.25,2026-04-08,2026-04-09,8,9,1,0,Delivered
PO-10091,2025-10-15,SUP-006,PRD-036,Concrete,8,96.81,774.48,2025-10-25,2025-10-25,10,10,0,1,Delivered
PO-10096,2024-09-23,SUP-015,PRD-040,Plumbing,72,35.98,2590.56,2024-10-07,2024-10-07,14,14,0,1,Delivered
PO-10101,2025-02-05,SUP-007,PRD-011,Concrete,32,38.2,1222.4,2025-02-15,2025-02-17,10,12,2,0,Delivered
PO-10103,2024-02-14,SUP-014,PRD-034,Plumbing,28,39.46,1104.88,22/02/2024,,8,,,,Cancelled
PO-10107,2024-01-03,SUP-011,PRD-017,Electrical,71,73.03,5185.13,2024-01-16,2024-01-18,13,15,2,0,Delivered
PO-10111,2025-09-05,SUP-013,PRD-034,Plumbing,52,38.81,2018.12,2025-09-14,2025-09-13,9,8,0,1,Delivered
PO-10115,2024-09-30,SUP-014,PRD-021,Plumbing,55,54.87,3017.85,10-08-2024,,8,,,,Pending
PO-10116,2025-10-17,SUP-019,PRD-026,Safety,4,32.75,131.0,2025-10-23,2025-10-23,6,6,0,1,Delivered
PO-10119,2024-05-15,SUP-018,PRD-023,Finishes,15,97.43,1461.45,2024-06-01,2024-06-22,17,38,21,0,Delivered
PO-10121,2024-03-13,SUP-024,PRD-014,Electrical,46,211.22,9716.12,2024-04-02,,20,,,,Cancelled
PO-10122,2025-01-01,SUP-012,PRD-035,Electrical,68,232.32,15797.76,2025-01-18,,17,,,,Pending
PO-10127,19/08/2024,SUP-005,PRD-010,Concrete,61,22.44,1368.84,2024-08-27,2024-08-27,8,8,0,1,Delivered
PO-10130,2024-10-09,SUP-018,PRD-025,Finishes,26,13.6,353.6,2024-10-29,2024-10-28,20,19,0,1,Delivered
PO-10131,2024-03-06,SUP-008,PRD-013,Concrete,76,18.83,1431.08,2024-03-17,,11,,,,Cancelled
PO-10134,06-08-2024,SUP-002,PRD-006,Structural,25,41.72,1043.0,2024-08-11,,5,,,,Pending
PO-10135,2025-12-01,SUP-010,PRD-016,Electrical,70,11.87,830.9,2025-12-07,2025-12-07,6,6,0,1,Delivered
PO-10139,2024-03-14,SUP-022,PRD-005,Structural,45,54.67,2460.15,2024-03-27,2024-03-27,13,13,0,1,Delivered
PO-10144,2025-06-23,SUP-002,PRD-003,Structural,12,47.23,566.76,2025-07-02,,9,,,,Pending
PO-10148,2025-01-13,SUP-014,PRD-034,Plumbing,9,38.86,349.74,2025-01-21,2025-01-21,8,8,0,1,Delivered
PO-10150,2024-05-22,SUP-002,PRD-001,Structural,78,324.13,25282.14,2024-05-30,2024-05-30,8,8,0,1,Delivered
PO-10153,2025-10-23,SUP-020,PRD-033,Safety,21,193.06,4054.26,2025-10-28,2025-10-28,5,5,0,1,Delivered
PO-10156,06/01/2025,SUP-015,PRD-021,Plumbing,36,56.93,2049.48,2025-01-21,2025-01-21,15,15,0,1,Delivered
PO-10157,2024/03/05,SUP-019,PRD-030,Safety,24,65.84,1580.16,2024-03-14,2024-03-13,9,8,0,1,Delivered
PO-10158,2025-01-27,SUP-014,PRD-021,Plumbing,22,55.17,1213.74,2025-02-06,2025-02-05,10,9,0,1,Delivered
PO-10161,2024-08-07,SUP-004,PRD-001,Structural,61,327.59,19982.99,2024-08-22,2024-08-27,15,20,5,0,Delivered
PO-10166,2024-04-08,SUP-012,PRD-035,Electrical,79,224.22,17713.38,2024-04-27,2024-04-27,19,19,0,1,Delivered
PO-10167,2025-01-20,SUP-002,PRD-038,Structural,36,48.44,1743.84,2025-01-30,2025-01-30,10,10,0,1,Delivered
PO-10172,2025-09-22,SUP-005,PRD-010,Concrete,66,-21.97,1450.02,2025-09-30,,8,,,,Pending
PO-10176,2025-03-19,SUP-011,PRD-018,Electrical,43,30.33,1304.19,2025-04-02,2025-04-02,14,14,0,1,Delivered
PO-10180,22/08/2025,SUP-014,PRD-040,Plumbing,65,36.66,2382.9,2025-09-01,2025-09-04,10,13,3,0,Delivered
PO-10185,2026-02-02,SUP-002,PRD-007,Structural,11,324.12,3565.32,2026-02-12,,10,,,,Cancelled
PO-10190,2024-11-12,SUP-012,PRD-018,Electrical,32,31.02,992.64,11-28-2024,,16,,,,Cancelled
PO-10191,2025-01-08,SUP-021,PRD-026,Safety,9,32.26,290.34,2025-01-18,,10,,,,Pending
PO-10193,2024-02-23,SUP-015,PRD-040,Plumbing,76,34.6,2629.6,05/03/2024,2024-03-05,11,11,0,1,Delivered
PO-10196,2025-08-04,SUP-005,PRD-011,Concrete,40,38.94,1557.6,2025-08-11,2025-08-14,7,10,3,0,Delivered
PO-10198,13-11-2024,SUP-024,PRD-016,Electrical,52,12.22,635.44,04/12/2024,,21,,,,Cancelled
PO-10201,2025-10-14,SUP-023,PRD-036,Concrete,26,105.0,2730.0,2025-11-01,,18,,,,Cancelled
PO-10202,2024-09-17,SUP-013,PRD-034,Plumbing,13,39.66,515.58,2024-09-24,2024-09-25,7,8,1,0,Delivered
PO-10207,2025-02-18,SUP-010,PRD-016,Electrical,39,12.39,483.21,02-26-2025,2025-03-01,8,11,3,0,Delivered
PO-10211,2026-03-18,SUP-017,PRD-023,Finishes,70,87.76,6143.2,2026-03-31,2026-03-30,13,12,0,1,Delivered
PO-10212,2025-07-31,SUP-013,PRD-034,Plumbing,80,37.83,3026.4,2025-08-09,,9,,,,Cancelled
PO-10213,09-12-2024,SUP-013,PRD-019,Plumbing,19,38.27,727.13,2024-09-18,,6,,,,Cancelled
PO-10215,15/01/2026,SUP-019,PRD-037,Safety,37,54.03,1999.11,2026-01-24,2026-01-24,9,9,0,1,Delivered
PO-10220,2026-01-27,SUP-021,PRD-026,Safety,17,34.99,594.83,2026-02-09,2026-02-09,13,13,0,1,Delivered
PO-10223,2024-07-31,SUP-023,PRD-009,Concrete,72,210.38,15147.36,2024-08-16,2024-08-30,16,30,14,0,Delivered
PO-10226,2025-12-26,SUP-006,PRD-012,Concrete,16,63.63,1018.08,2026-01-02,2026-01-03,7,8,1,0,Delivered
PO-10228,2025-09-18,SUP-016,PRD-023,Finishes,48,90.42,4340.16,2025-09-26,,8,,,,Pending
PO-10233,11/09/2024,SUP-019,PRD-026,Safety,56,32.9,1842.4,2024-09-19,2024-09-20,8,9,1,0,Delivered
PO-10235,23/08/2024,SUP-021,PRD-033,Safety,60,191.61,11496.6,2024-09-06,2024-09-08,14,16,2,0,Delivered
PO-10237,2024-12-27,SUP-008,PRD-010,Concrete,14,22.23,311.22,2025-01-09,2025-01-09,13,13,0,1,Delivered
PO-10238,03-06-2024,SUP-003,PRD-003,Structural,73,45.87,3348.51,2024-03-15,,9,,,,Cancelled
PO-10239,2026-03-18,SUP-017,PRD-025,Finishes,29,13.86,401.94,2026-03-28,2026-03-30,10,12,2,0,Delivered
PO-10244,2024-07-17,SUP-015,PRD-034,Plumbing,73,36.99,2700.27,2024-07-31,2024-08-02,14,16,2,0,Delivered
PO-10247,2024-10-17,SUP-006,PRD-012,Concrete,20,63.98,1279.6,2024-10-27,,10,,,,Pending
PO-10250,2024-09-18,SUP-024,PRD-018,Electrical,21,27.7,581.7,2024-10-04,2024-10-18,16,30,14,0,Delivered
PO-10254,2024/08/22,SUP-016,PRD-025,Finishes,77,14.2,1093.4,2024-08-30,2024-08-29,8,7,0,1,Delivered
PO-10256,2025-10-07,SUP-011,PRD-016,Electrical,57,11.91,678.87,2025-10-17,,10,,,,Pending
PO-10260,2025-12-30,SUP-004,PRD-001,Structural,42,334.35,14042.7,2026-01-12,2026-01-22,13,23,10,0,Delivered
PO-10262,03/11/2025,SUP-017,PRD-025,Finishes,15,14.02,210.3,2025-11-13,2025-11-13,10,10,0,1,Delivered
PO-10264,2024-02-22,SUP-019,PRD-029,Safety,20,41.85,837.0,2024-02-29,,7,,,,Pending
PO-10268,2025-01-22,SUP-018,PRD-031,Finishes,74,98.86,7315.64,2025-02-12,,21,,,,Cancelled
PO-10271,2025-10-29,SUP-016,PRD-025,Finishes,61,14.16,863.76,11-07-2025,2025-11-06,9,8,0,1,Delivered
PO-10276,2025-02-21,SUP-015,PRD-034,Plumbing,59,41.35,2439.65,2025-03-08,,15,,,,Pending
PO-10277,2025-11-12,SUP-009,PRD-018,Electrical,33,28.83,951.39,2025-11-22,,10,,,,Pending
PO-10281,13-10-2025,SUP-019,PRD-032,Safety,73,32.88,2400.24,2025-10-18,,5,,,,Cancelled
PO-10282,2025-04-29,SUP-007,PRD-010,Concrete,52,21.71,1128.92,2025-05-14,,15,,,,Pending
PO-10287,2024-03-06,SUP-025,PRD-032,Safety,25,35.0,875.0,2024-03-16,2024-03-16,10,10,0,1,Delivered
PO-10288,2025-02-21,SUP-018,PRD-039,Finishes,18,57.16,1028.88,2025-03-09,,16,,,,Cancelled
PO-10292,30/01/2024,SUP-010,PRD-017,Electrical,59,67.75,3997.25,2024-02-08,2024-02-08,9,9,0,1,Delivered
PO-10297,2026-03-31,SUP-014,PRD-022,Plumbing,22,124.46,2738.12,2026-04-09,2026-04-09,9,9,0,1,Delivered
PO-10298,08-28-2025,SUP-016,PRD-025,Finishes,36,14.16,509.76,2025-09-02,2025-09-03,5,6,1,0,Delivered
PO-10301,2026-02-17,SUP-013,PRD-022,Plumbing,51,125.95,6423.45,2026-02-26,2026-02-26,9,9,0,1,Delivered
PO-10303,2024-01-25,SUP-015,PRD-020,Plumbing,80,40.77,3261.6,2024-02-09,2024-02-09,15,15,0,1,Delivered
PO-10304,2025-10-14,SUP-007,PRD-008,Concrete,60,18.1,1086.0,2025-10-24,,10,,,,Pending
PO-10306,04-09-2024,SUP-022,PRD-006,Structural,25,44.37,1109.25,2024-09-15,2024-09-17,11,13,2,0,Delivered
PO-10311,2025-04-01,SUP-014,PRD-019,Plumbing,49,-37.91,1857.59,2025-04-11,2025-04-11,10,10,0,1,Delivered
PO-10316,2025-09-12,SUP-010,PRD-014,Electrical,24,202.43,4858.32,2025-09-19,2025-09-19,7,7,0,1,Delivered
PO-10320,2024-01-25,SUP-005,PRD-036,Concrete,42,99.31,4171.02,2024-01-31,,6,,,,Pending
PO-10323,2024-10-23,SUP-003,PRD-005,Structural,57,57.32,3267.24,2024-10-28,2024-10-29,5,6,1,0,Delivered
PO-10326,2026-02-12,SUP-017,PRD-023,Finishes,57,93.3,5318.1,2026-02-27,2026-02-27,15,15,0,1,Delivered
PO-10330,2025-05-21,SUP-013,PRD-040,Plumbing,7,36.08,252.56,29-05-2025,2025-05-29,8,8,0,1,Delivered
PO-10331,2025-07-29,SUP-014,PRD-034,Plumbing,5,37.62,188.1,2025-08-08,2025-08-08,10,10,0,1,Delivered
PO-10334,2024-11-13,SUP-016,PRD-039,Finishes,49,52.31,2563.19,2024-11-19,,6,,,,Pending
PO-10335,2024-01-17,SUP-008,PRD-012,Concrete,17,62.25,1058.25,30/01/2024,,13,,,,Pending
PO-10336,2024-04-12,SUP-004,PRD-003,Structural,13,48.39,629.07,2024-04-27,,15,,,,Cancelled
PO-10339,2025-12-19,SUP-020,PRD-032,Safety,27,33.13,894.51,2025-12-28,2025-12-28,9,9,0,1,Delivered
PO-10344,2024-04-05,SUP-001,PRD-005,Structural,63,55.92,3522.96,2024-04-13,2024-04-16,8,11,3,0,Delivered
PO-10348,2025-08-05,SUP-010,PRD-018,Electrical,18,28.29,509.22,2025-08-15,2025-08-15,10,10,0,1,Delivered
PO-10350,2024-10-14,SUP-017,PRD-023,Finishes,72,89.51,6444.72,2024-10-26,2024-10-26,12,12,0,1,Delivered
PO-10352,2024-05-20,SUP-018,PRD-039,Finishes,74,49.94,3695.56,2024-06-07,,18,,,,Cancelled
PO-10357,2024-12-16,SUP-019,PRD-037,Safety,40,55.76,2230.4,2024-12-26,2024-12-26,10,10,0,1,Delivered
PO-10361,2025-02-05,SUP-007,PRD-012,Concrete,42,66.06,2774.52,2025-02-16,2025-02-16,11,11,0,1,Delivered
PO-10363,2025-01-23,SUP-012,PRD-015,Electrical,39,403.36,15731.04,09/02/2025,2025-02-09,17,17,0,1,Delivered
PO-10365,2025-10-02,SUP-015,PRD-022,Plumbing,65,116.76,7589.4,2025-10-15,2025-10-20,13,18,5,0,Delivered
PO-10369,2025-05-14,SUP-025,PRD-030,Safety,15,66.69,1000.35,2025-05-28,2025-05-27,14,13,0,1,Delivered
PO-10371,2024-10-28,SUP-009,PRD-017,Electrical,72,67.97,4893.84,2024-11-06,2024-11-06,9,9,0,1,Delivered
PO-10374,2025-04-03,SUP-010,PRD-015,Electrical,66,334.16,22054.56,2025-04-12,2025-04-12,9,9,0,1,Delivered
PO-10376,2024-09-30,SUP-017,PRD-024,Finishes,40,47.12,1884.8,2024-10-13,2024-10-23,13,23,10,0,Delivered
PO-10379,2024-10-02,SUP-004,PRD-005,Structural,5,57.62,288.1,2024-10-17,,15,,,,Pending
PO-10381,2025-03-06,SUP-025,PRD-028,Safety,75,19.68,1476.0,2025-03-21,2025-03-21,15,15,0,1,Delivered
PO-10386,2025-10-13,SUP-015,PRD-040,Plumbing,68,34.89,2372.52,10-23-2025,,10,,,,Pending
PO-10391,2024-10-10,SUP-011,PRD-018,Electrical,33,28.18,929.94,2024-10-23,2024-10-23,13,13,0,1,Delivered
PO-10395,23-09-2024,SUP-024,PRD-035,Electrical,75,218.24,16368.0,2024-10-11,2024-10-14,18,21,3,0,Delivered
PO-10398,2026-03-09,SUP-003,PRD-038,Structural,63,47.76,3008.88,2026-03-19,,10,,,,Pending
PO-10403,2024-07-26,SUP-022,PRD-004,Structural,14,87.02,1218.28,2024-08-10,2024-08-10,15,15,0,1,Delivered
PO-10407,2025-07-14,SUP-014,PRD-040,Plumbing,38,35.09,1333.42,2025-07-20,2025-07-21,6,7,1,0,Delivered
PO-10408,04-02-2026,SUP-008,PRD-036,Concrete,6,104.47,626.82,15/02/2026,,11,,,,Cancelled
PO-10409,2024-09-09,SUP-016,PRD-025,Finishes,71,14.23,1010.33,2024-09-16,,7,,,,Pending
PO-10411,10/09/2025,SUP-021,PRD-028,Safety,39,18.79,732.81,2025-09-20,,10,,,,Cancelled
PO-10412,29-11-2024,SUP-002,PRD-003,Structural,33,44.12,1455.96,2024-12-07,2024-12-07,8,8,0,1,Delivered
PO-10413,2024-08-13,SUP-010,PRD-014,Electrical,41,193.28,7924.48,2024-08-23,,10,,,,Cancelled
PO-10416,2024-10-31,SUP-006,PRD-009,Concrete,79,211.29,16691.91,2024-11-08,,8,,,,Pending
PO-10421,2026-01-07,SUP-022,PRD-038,Structural,11,52.28,575.08,2026-01-21,,14,,,,Pending
PO-10426,2025-01-07,SUP-020,PRD-037,Safety,59,57.01,3363.59,2025-01-12,2025-01-13,5,6,1,0,Delivered
PO-10429,09-04-2025,SUP-014,PRD-019,Plumbing,11,37.36,410.96,2025-09-14,2025-09-14,10,10,0,1,Delivered
PO-10430,2024-09-02,SUP-006,PRD-036,Concrete,55,95.59,5257.45,2024-09-12,2024-09-15,10,13,3,0,Delivered
PO-10435,10-04-2024,SUP-009,PRD-015,Electrical,0,350.52,0.0,2024-04-19,2024-04-19,9,9,0,1,Delivered
PO-10439,2025-03-13,SUP-006,PRD-011,Concrete,26,39.73,1032.98,2025-03-20,,7,,,,Cancelled
PO-10440,2024-07-29,SUP-001,PRD-001,Structural,8,319.08,2552.64,2024-08-06,,8,,,,Pending
PO-10445,2026-04-09,SUP-023,PRD-010,Concrete,43,22.2,954.6,2026-04-29,,20,,,,Pending
PO-10450,2026-01-12,SUP-008,PRD-012,Concrete,46,67.73,3115.58,2026-01-25,2026-01-24,13,12,0,1,Delivered
PO-10452,2025-09-26,SUP-013,PRD-020,Plumbing,20,43.53,870.6,2025-10-03,2025-10-04,7,8,1,0,Delivered
PO-10454,01/10/2024,SUP-004,PRD-006,Structural,26,41.02,1066.52,2024-10-11,2024-10-13,10,12,2,0,Delivered
PO-10459,07-10-2024,SUP-007,PRD-010,Concrete,26,24.09,626.34,2024-07-20,2024-07-20,10,10,0,1,Delivered
PO-10463,2026-02-05,SUP-017,PRD-025,Finishes,47,14.14,664.58,18-02-2026,2026-02-18,13,13,0,1,Delivered
PO-10466,2026-02-04,SUP-011,PRD-017,Electrical,30,-72.51,2175.3,2026-02-14,,10,,,,Pending
PO-10469,2024-07-19,SUP-016,PRD-031,Finishes,45,88.82,3996.9,2024-07-28,,9,,,,Cancelled
PO-10472,2024-05-17,SUP-025,PRD-028,Safety,9,18.69,168.21,2024-05-31,,14,,,,Cancelled
PO-10474,2024-02-16,SUP-005,PRD-009,Concrete,9,214.88,1933.92,2024-02-25,2024-02-25,9,9,0,1,Delivered
PO-10478,2024-01-08,SUP-018,PRD-025,Finishes,4,15.06,60.24,2024-01-28,2024-02-18,20,41,21,0,Delivered
PO-10480,2025-06-10,SUP-011,PRD-016,Electrical,53,12.36,655.08,2025-06-23,2025-06-22,13,12,0,1,Delivered
PO-10481,2024-03-07,SUP-014,PRD-034,Plumbing,3,39.11,117.33,2024-03-15,,8,,,,Cancelled
PO-10482,22/01/2026,SUP-002,PRD-004,Structural,62,84.91,5264.42,2026-02-01,2026-02-02,10,11,1,0,Delivered
PO-10485,2024-01-10,SUP-023,PRD-009,Concrete,11,215.21,2367.31,2024-01-31,2024-02-14,21,35,14,0,Delivered
PO-10487,2025-10-24,SUP-019,PRD-032,Safety,31,33.24,1030.44,2025-10-29,,5,,,,Pending
PO-10490,2025-10-20,SUP-014,PRD-020,Plumbing,50,42.43,2121.5,2025-10-27,2025-10-27,7,7,0,1,Delivered
PO-10491,2024-02-27,SUP-008,PRD-013,Concrete,0,18.71,0.0,2024-03-13,2024-03-13,15,15,0,1,Delivered
PO-10492,07/06/2024,SUP-015,PRD-034,Plumbing,5,37.3,186.5,2024-06-21,2024-06-21,14,14,0,1,Delivered
PO-10493,2025-09-05,SUP-016,PRD-039,Finishes,50,51.58,2579.0,2025-09-14,2025-09-14,9,9,0,1,Delivered
PO-10497,10-20-2025,SUP-011,PRD-015,Electrical,78,357.06,27850.68,2025-11-04,2025-11-06,15,17,2,0,Delivered
PO-10500,06-01-2025,SUP-015,PRD-034,Plumbing,79,41.54,3281.66,2025-01-17,2025-01-17,11,11,0,1,Delivered
PO-10504,2026-03-18,SUP-007,PRD-011,Concrete,52,38.66,2010.32,2026-03-30,,12,,,,Pending
PO-10508,2026-02-26,SUP-008,PRD-036,Concrete,10,102.26,1022.6,2026-03-10,2026-03-15,12,17,5,0,Delivered
PO-10510,2025-09-01,SUP-013,PRD-022,Plumbing,53,122.09,6470.77,2025-09-10,2025-09-10,9,9,0,1,Delivered
PO-10515,2025-05-12,SUP-001,PRD-004,Structural,23,87.15,2004.45,05-22-2025,,10,,,,Cancelled
PO-10519,2024-03-18,SUP-003,PRD-004,Structural,73,86.75,6332.75,2024-03-27,2024-03-28,9,10,1,0,Delivered
PO-10521,2024-10-14,SUP-004,PRD-002,Structural,12,275.82,3309.84,2024-10-26,2024-10-26,12,12,0,1,Delivered
PO-10524,2025-01-30,SUP-015,PRD-040,Plumbing,40,34.15,1366.0,2025-02-12,2025-02-12,13,13,0,1,Delivered
PO-10526,2025-02-28,SUP-016,PRD-025,Finishes,61,13.95,850.95,2025-03-09,,9,,,,Cancelled
PO-10528,2025-01-13,SUP-014,PRD-019,Plumbing,37,39.24,1451.88,2025-01-23,2025-01-23,10,10,0,1,Delivered
PO-10530,2025-01-17,SUP-012,PRD-018,Electrical,51,30.88,1574.88,2025-02-07,2025-02-10,21,24,3,0,Delivered
PO-10533,2026-02-09,SUP-016,PRD-024,Finishes,41,44.47,1823.27,2026-02-16,2026-02-15,7,6,0,1,Delivered
PO-10535,06/02/2025,SUP-018,PRD-024,Finishes,38,44.33,1684.54,02-26-2025,2025-02-26,20,20,0,1,Delivered
PO-10537,2025-11-14,SUP-018,PRD-031,Finishes,55,100.35,5519.25,2025-12-03,,19,,,,Pending
PO-10540,2024-07-16,SUP-010,PRD-017,Electrical,65,69.26,4501.9,2024-07-25,,9,,,,Pending
PO-10541,30/09/2025,SUP-015,PRD-020,Plumbing,33,42.37,1398.21,2025-10-13,2025-10-13,13,13,0,1,Delivered
PO-10542,2025-10-14,SUP-006,PRD-036,Concrete,46,98.83,4546.18,2025-10-24,,10,,,,Pending
PO-10543,2025-04-16,SUP-017,PRD-039,Finishes,39,52.4,2043.6,2025-04-30,,14,,,,Cancelled
PO-10547,2026-02-09,SUP-010,PRD-035,Electrical,43,202.41,8703.63,2026-02-15,2026-02-15,6,6,0,1,Delivered
PO-10551,2025-01-14,SUP-019,PRD-033,Safety,49,187.19,9172.31,01-23-2025,,9,,,,Cancelled
PO-10554,2025-12-18,SUP-017,PRD-024,Finishes,65,45.22,2939.3,2025-12-31,,13,,,,Pending
PO-10555,2024/01/31,SUP-025,PRD-026,Safety,22,-32.88,723.36,10/02/2024,2024-02-20,10,20,10,0,Delivered
PO-10558,2024-05-06,SUP-009,PRD-035,Electrical,49,200.17,9808.33,2024-05-13,,7,,,,Cancelled
PO-10559,2025-08-21,SUP-002,PRD-038,Structural,0,48.79,0.0,26-08-2025,2025-08-25,5,4,0,1,Delivered
PO-10561,2025-01-30,SUP-008,PRD-008,Concrete,15,18.7,280.5,2025-02-14,2025-02-19,15,20,5,0,Delivered
PO-10566,2024-01-05,SUP-020,PRD-037,Safety,21,57.44,1206.24,2024-01-12,2024-01-13,7,8,1,0,Delivered
PO-10571,2025-09-10,SUP-012,PRD-016,Electrical,12,12.14,145.68,2025-09-27,2025-09-27,17,17,0,1,Delivered
PO-10574,2024-07-01,SUP-018,PRD-024,Finishes,8,51.57,412.56,2024-07-22,2024-07-25,21,24,3,0,Delivered
PO-10579,19-01-2026,SUP-003,PRD-006,Structural,74,42.4,3137.6,2026-01-25,2026-01-25,6,6,0,1,Delivered
PO-10580,2024-01-09,SUP-005,PRD-008,Concrete,66,19.12,1261.92,2024-01-17,,8,,,,Cancelled
PO-10583,2024-02-23,SUP-006,PRD-012,Concrete,10,62.11,621.1,2024-03-01,2024-03-01,7,7,0,1,Delivered
PO-10587,2025-05-30,SUP-003,PRD-003,Structural,19,46.31,879.89,2025-06-04,,5,,,,Pending
PO-10590,2024-04-03,SUP-009,PRD-014,Electrical,36,198.25,7137.0,2024-04-10,,7,,,,Cancelled
PO-10594,2025-12-26,SUP-007,PRD-009,Concrete,75,222.1,16657.5,2026-01-07,2026-01-12,12,17,5,0,Delivered
PO-10598,2024-10-29,SUP-006,PRD-036,Concrete,55,94.59,5202.45,2024-11-03,2024-11-03,5,5,0,1,Delivered
PO-10603,2025-07-30,,PRD-004,Structural,53,83.71,4436.63,2025-08-08,2025-08-11,9,12,3,0,Delivered
PO-10605,2024-09-04,,PRD-015,Electrical,65,407.81,26507.65,2024-09-23,,19,,,,Pending
PO-10609,2024/01/16,SUP-017,PRD-023,Finishes,50,96.15,4807.5,2024-01-28,,12,,,,Pending
PO-10611,2025-08-28,SUP-001,PRD-004,Structural,49,86.03,4215.47,2025-09-06,,9,,,,Pending
PO-10616,2024-02-13,SUP-020,PRD-029,Safety,42,43.88,1842.96,2024-02-20,2024-02-20,7,7,0,1,Delivered
PO-10618,2024-04-12,SUP-016,PRD-024,Finishes,61,45.09,2750.49,2024-04-17,2024-04-17,5,5,0,1,Delivered
PO-10619,2024-05-03,SUP-021,PRD-026,Safety,43,31.66,1361.38,2024-05-14,2024-05-19,11,16,5,0,Delivered
